"","Ticker","SEC_Company_ID"
"1619","NVRO",1444380
"1620","ZAYO",1608249
"1621","DPZ",1286681
"1623","KBAL",55772
"1634","INVA",1080014
"1635","LMNX",1033905
"1636","CRC",1609253
"1646","CHRS",1512762
"1647","CUK",1125259
"1651","IP",51434
"1654","FSAM",1611988
"1656","BVX",719135
"1657","IO",866609
"1659","BCOR",1068875
"1660","VBTX",1501570
"1661","HUBS",1404655
"1662","FMSA",1010858
"1664","CLR",732834
"1671","DHI",882184
"1672","UCFC",707886
"1673","DCOM",1005409
"1676","FB",1326801
"1677","LYTS",763532
"1680","AXP",4962
"1681","OPCO",1094139
"1682","USDP",1610682
"1695","AETI",1043186
"1697","WGL",1103601
"1701","TJX",109198
"1705","HEI",46619
"1706","HDSN",925528
"1713","KTOS",1069258
"1714","EYEG",1372514
"1716","W",1616707
"1726","ATEC",1350653
"1727","MDLY",1611110
"1731","RFIL",740664
"1733","BIIB",875045
"1734","XENE",1582313
"1736","TVPT",1424755
"1741","FELP",1540729
"1742","SWKH",1089907
"1743","BPFH",821127
"1750","IPWR",1507957
"1757","EPZM",1571498
"1759","DPLO",1610092
"1762","ECIA",930775
"1765","IPDN",1546296
"1769","INSW",1679049
"1770","BRS",73887
"1775","GTT",1315255
"1776","VEC",1601548
"1777","LOGM",1420302
"1780","CALA",1496671
"1781","GWW",277135
"1782","XON",1356090
"1783","TFSL",1381668
"1785","WPG",1594686
"1786","PXD",1038357
"1787","NLSN",1492633
"1788","LMT",936468
"1789","MRC",1439095
"1790","HENC",1324736
"1791","HALL",819913
"1793","MOS",1285785
"1795","PENC",891417
"1798","IDN",1040896
"1799","HRTG",1598665
"1801","SSI",6885
"1805","H",1468174
"1811","THRM",903129
"1812","MSL",745981
"1813","ADMS",1328143
"1815","RSO",1332551
"1816","DKL",1552797
"1820","GNBC",1606363
"1821","TTOO",1492674
"1823","HD",354950
"1824","INTC",50863
"1825","IRT",1466085
"1826","SPTN",877422
"1827","SPAR",743238
